Amazon,IMDB,Yelp,Cleaned Amazon,Cleaned IMDB,Cleaned Yelp,Cleaned Sentence,Tokenized Amazon,Tokenized IMDB,Tokenized Yelp,Stemmed Amazon,Stemmed IMDB,Stemmed Yelp,Filtered Amazon,Filtered IMDB,Filtered Yelp,Tokenized Sentence,Stemmed Sentence,Filtered Sentence,Sentiment
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver). 1,,Any grandmother can make a roasted chicken better than this one. 0,worked very well paired with a treo 700w and as a skype headset on my pc using a usb bluetooth transceiver 1,,any grandmother can make a roasted chicken better than this one 0,,"['worked', 'very', 'well', 'paired', 'with', 'a', 'treo', '700w', 'and', 'as', 'a', 'skype', 'headset', 'on', 'my', 'pc', 'using', 'a', 'usb', 'bluetooth', 'transceiver', '1']",[],"['any', 'grandmother', 'can', 'make', 'a', 'roasted', 'chicken', 'better', 'than', 'this', 'one', '0']","['work', 'veri', 'well', 'pair', 'with', 'a', 'treo', '700w', 'and', 'as', 'a', 'skype', 'headset', 'on', 'my', 'pc', 'use', 'a', 'usb', 'bluetooth', 'transceiv', '1']",[],"['ani', 'grandmoth', 'can', 'make', 'a', 'roast', 'chicken', 'better', 'than', 'thi', 'one', '0']","['work', 'veri', 'well', 'pair', 'treo', '700w', 'skype', 'headset', 'pc', 'use', 'usb', 'bluetooth', 'transceiv', '1']",[],"['ani', 'grandmoth', 'make', 'roast', 'chicken', 'better', 'thi', 'one', '0']",worked very well paired with a treo 700w and as a skype headset on my pc using a usb bluetooth transceiver 1 any grandmother can make a roasted chicken better than this one 0,work veri well pair with a treo 700w and as a skype headset on my pc use a usb bluetooth transceiv 1 ani grandmoth can make a roast chicken better than thi one 0,work veri well pair treo 700w skype headset pc use usb bluetooth transceiv 1 ani grandmoth make roast chicken better thi one 0,Neutral
Steer clear of this product and go with the genuine Palm replacementr pens  which come in a three-pack. 0,,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself. 0,steer clear of this product and go with the genuine palm replacementr pens which come in a 0,,i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself 0,,"['steer', 'clear', 'of', 'this', 'product', 'and', 'go', 'with', 'the', 'genuine', 'palm', 'replacementr', 'pens', 'which', 'come', 'in', 'a', '0']",[],"['i', 'asked', 'multiple', 'times', 'for', 'the', 'wine', 'list', 'and', 'after', 'some', 'time', 'of', 'being', 'ignored', 'i', 'went', 'to', 'the', 'hostess', 'and', 'got', 'one', 'myself', '0']","['steer', 'clear', 'of', 'thi', 'product', 'and', 'go', 'with', 'the', 'genuin', 'palm', 'replacementr', 'pen', 'which', 'come', 'in', 'a', '0']",[],"['i', 'ask', 'multipl', 'time', 'for', 'the', 'wine', 'list', 'and', 'after', 'some', 'time', 'of', 'be', 'ignor', 'i', 'went', 'to', 'the', 'hostess', 'and', 'got', 'one', 'myself', '0']","['steer', 'clear', 'thi', 'product', 'go', 'genuin', 'palm', 'replacementr', 'pen', 'come', '0']",[],"['ask', 'multipl', 'time', 'wine', 'list', 'time', 'ignor', 'went', 'hostess', 'got', 'one', '0']",steer clear of this product and go with the genuine palm replacementr pens which come in a 0 i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself 0,steer clear of thi product and go with the genuin palm replacementr pen which come in a 0 i ask multipl time for the wine list and after some time of be ignor i went to the hostess and got one myself 0,steer clear thi product go genuin palm replacementr pen come 0 ask multipl time wine list time ignor went hostess got one 0,Neutral
DO NOT BUY DO NOT BUYIT SUCKS 0,,The staff is always super friendly and helpful  which is especially cool when you bring two small boys and a baby! 1,do not buy do not buyit sucks 0,,the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby 1,,"['do', 'not', 'buy', 'do', 'not', 'buyit', 'sucks', '0']",[],"['the', 'staff', 'is', 'always', 'super', 'friendly', 'and', 'helpful', 'which', 'is', 'especially', 'cool', 'when', 'you', 'bring', 'two', 'small', 'boys', 'and', 'a', 'baby', '1']","['do', 'not', 'buy', 'do', 'not', 'buyit', 'suck', '0']",[],"['the', 'staff', 'is', 'alway', 'super', 'friendli', 'and', 'help', 'which', 'is', 'especi', 'cool', 'when', 'you', 'bring', 'two', 'small', 'boy', 'and', 'a', 'babi', '1']","['buy', 'buyit', 'suck', '0']",[],"['staff', 'alway', 'super', 'friendli', 'help', 'especi', 'cool', 'bring', 'two', 'small', 'boy', 'babi', '1']",do not buy do not buyit sucks 0 the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby 1,do not buy do not buyit suck 0 the staff is alway super friendli and help which is especi cool when you bring two small boy and a babi 1,buy buyit suck 0 staff alway super friendli help especi cool bring two small boy babi 1,Neutral
This is a great product..... sure beats using your fingers!. 1,,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat ! 1,this is a great product sure beats using your fingers 1,,four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat 1,,"['this', 'is', 'a', 'great', 'product', 'sure', 'beats', 'using', 'your', 'fingers', '1']",[],"['four', 'stars', 'for', 'the', 'food', 'the', 'guy', 'in', 'the', 'blue', 'shirt', 'for', 'his', 'great', 'vibe', 'still', 'letting', 'us', 'in', 'to', 'eat', '1']","['thi', 'is', 'a', 'great', 'product', 'sure', 'beat', 'use', 'your', 'finger', '1']",[],"['four', 'star', 'for', 'the', 'food', 'the', 'guy', 'in', 'the', 'blue', 'shirt', 'for', 'hi', 'great', 'vibe', 'still', 'let', 'us', 'in', 'to', 'eat', '1']","['thi', 'great', 'product', 'sure', 'beat', 'use', 'finger', '1']",[],"['four', 'star', 'food', 'guy', 'blue', 'shirt', 'hi', 'great', 'vibe', 'still', 'let', 'us', 'eat', '1']",this is a great product sure beats using your fingers 1 four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat 1,thi is a great product sure beat use your finger 1 four star for the food the guy in the blue shirt for hi great vibe still let us in to eat 1,thi great product sure beat use finger 1 four star food guy blue shirt hi great vibe still let us eat 1,Neutral
Plus  I seriously do not believe it is worth its steep price point. 0,,The roast beef sandwich tasted really good! 1,plus i seriously do not believe it is worth its steep price point 0,,the roast beef sandwich tasted really good 1,,"['plus', 'i', 'seriously', 'do', 'not', 'believe', 'it', 'is', 'worth', 'its', 'steep', 'price', 'point', '0']",[],"['the', 'roast', 'beef', 'sandwich', 'tasted', 'really', 'good', '1']","['plu', 'i', 'serious', 'do', 'not', 'believ', 'it', 'is', 'worth', 'it', 'steep', 'price', 'point', '0']",[],"['the', 'roast', 'beef', 'sandwich', 'tast', 'realli', 'good', '1']","['plu', 'serious', 'believ', 'worth', 'steep', 'price', 'point', '0']",[],"['roast', 'beef', 'sandwich', 'tast', 'realli', 'good', '1']",plus i seriously do not believe it is worth its steep price point 0 the roast beef sandwich tasted really good 1,plu i serious do not believ it is worth it steep price point 0 the roast beef sandwich tast realli good 1,plu serious believ worth steep price point 0 roast beef sandwich tast realli good 1,Positive
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul. 1,,Same evening  him and I are both drastically sick. 0,all the other cases i tried normally fall apart after a few months but this one seems to be in for the long haul 1,,same evening him and i are both drastically sick 0,,"['all', 'the', 'other', 'cases', 'i', 'tried', 'normally', 'fall', 'apart', 'after', 'a', 'few', 'months', 'but', 'this', 'one', 'seems', 'to', 'be', 'in', 'for', 'the', 'long', 'haul', '1']",[],"['same', 'evening', 'him', 'and', 'i', 'are', 'both', 'drastically', 'sick', '0']","['all', 'the', 'other', 'case', 'i', 'tri', 'normal', 'fall', 'apart', 'after', 'a', 'few', 'month', 'but', 'thi', 'one', 'seem', 'to', 'be', 'in', 'for', 'the', 'long', 'haul', '1']",[],"['same', 'even', 'him', 'and', 'i', 'are', 'both', 'drastic', 'sick', '0']","['case', 'tri', 'normal', 'fall', 'apart', 'month', 'thi', 'one', 'seem', 'long', 'haul', '1']",[],"['even', 'drastic', 'sick', '0']",all the other cases i tried normally fall apart after a few months but this one seems to be in for the long haul 1 same evening him and i are both drastically sick 0,all the other case i tri normal fall apart after a few month but thi one seem to be in for the long haul 1 same even him and i are both drastic sick 0,case tri normal fall apart month thi one seem long haul 1 even drastic sick 0,Neutral
Very Dissapointing Performance. 0,,High-quality chicken on the chicken Caesar salad. 1,very dissapointing performance 0,,chicken on the chicken caesar salad 1,,"['very', 'dissapointing', 'performance', '0']",[],"['chicken', 'on', 'the', 'chicken', 'caesar', 'salad', '1']","['veri', 'dissapoint', 'perform', '0']",[],"['chicken', 'on', 'the', 'chicken', 'caesar', 'salad', '1']","['veri', 'dissapoint', 'perform', '0']",[],"['chicken', 'chicken', 'caesar', 'salad', '1']",very dissapointing performance 0 chicken on the chicken caesar salad 1,veri dissapoint perform 0 chicken on the chicken caesar salad 1,veri dissapoint perform 0 chicken chicken caesar salad 1,Neutral
Don't make the same mistake that I did and please don't buy this phone. 0,,Ordered burger rare came in we'll done. 0,do make the same mistake that i did and please do buy this phone 0,,ordered burger rare came in we done 0,,"['do', 'make', 'the', 'same', 'mistake', 'that', 'i', 'did', 'and', 'please', 'do', 'buy', 'this', 'phone', '0']",[],"['ordered', 'burger', 'rare', 'came', 'in', 'we', 'done', '0']","['do', 'make', 'the', 'same', 'mistak', 'that', 'i', 'did', 'and', 'pleas', 'do', 'buy', 'thi', 'phone', '0']",[],"['order', 'burger', 'rare', 'came', 'in', 'we', 'done', '0']","['make', 'mistak', 'pleas', 'buy', 'thi', 'phone', '0']",[],"['order', 'burger', 'rare', 'came', 'done', '0']",do make the same mistake that i did and please do buy this phone 0 ordered burger rare came in we done 0,do make the same mistak that i did and pleas do buy thi phone 0 order burger rare came in we done 0,make mistak pleas buy thi phone 0 order burger rare came done 0,Neutral
This phone might well be the worst I've ever had in any brand. 0,,We were promptly greeted and seated. 1,this phone might well be the worst i ever had in any brand 0,,we were promptly greeted and seated 1,,"['this', 'phone', 'might', 'well', 'be', 'the', 'worst', 'i', 'ever', 'had', 'in', 'any', 'brand', '0']",[],"['we', 'were', 'promptly', 'greeted', 'and', 'seated', '1']","['thi', 'phone', 'might', 'well', 'be', 'the', 'worst', 'i', 'ever', 'had', 'in', 'ani', 'brand', '0']",[],"['we', 'were', 'promptli', 'greet', 'and', 'seat', '1']","['thi', 'phone', 'might', 'well', 'worst', 'ever', 'ani', 'brand', '0']",[],"['promptli', 'greet', 'seat', '1']",this phone might well be the worst i ever had in any brand 0 we were promptly greeted and seated 1,thi phone might well be the worst i ever had in ani brand 0 we were promptli greet and seat 1,thi phone might well worst ever ani brand 0 promptli greet seat 1,Neutral
Case was more or less an extra that I originally put on but later discarded because it scratched my ear. 0,,Tried to go here for lunch and it was a madhouse. 0,case was more or less an extra that i originally put on but later discarded because it scratched my ear 0,,tried to go here for lunch and it was a madhouse 0,,"['case', 'was', 'more', 'or', 'less', 'an', 'extra', 'that', 'i', 'originally', 'put', 'on', 'but', 'later', 'discarded', 'because', 'it', 'scratched', 'my', 'ear', '0']",[],"['tried', 'to', 'go', 'here', 'for', 'lunch', 'and', 'it', 'was', 'a', 'madhouse', '0']","['case', 'wa', 'more', 'or', 'less', 'an', 'extra', 'that', 'i', 'origin', 'put', 'on', 'but', 'later', 'discard', 'becaus', 'it', 'scratch', 'my', 'ear', '0']",[],"['tri', 'to', 'go', 'here', 'for', 'lunch', 'and', 'it', 'wa', 'a', 'madhous', '0']","['case', 'wa', 'less', 'extra', 'origin', 'put', 'later', 'discard', 'becaus', 'scratch', 'ear', '0']",[],"['tri', 'go', 'lunch', 'wa', 'madhous', '0']",case was more or less an extra that i originally put on but later discarded because it scratched my ear 0 tried to go here for lunch and it was a madhouse 0,case wa more or less an extra that i origin put on but later discard becaus it scratch my ear 0 tri to go here for lunch and it wa a madhous 0,case wa less extra origin put later discard becaus scratch ear 0 tri go lunch wa madhous 0,Neutral
I recommend iGo to anyone with different brand cell phones/mp3 players in the family. 1,,I was proven dead wrong by this sushi bar  not only because the quality is great  but the service is fast and the food  impeccable. 1,i recommend igo to anyone with different brand cell players in the family 1,,i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable 1,,"['i', 'recommend', 'igo', 'to', 'anyone', 'with', 'different', 'brand', 'cell', 'players', 'in', 'the', 'family', '1']",[],"['i', 'was', 'proven', 'dead', 'wrong', 'by', 'this', 'sushi', 'bar', 'not', 'only', 'because', 'the', 'quality', 'is', 'great', 'but', 'the', 'service', 'is', 'fast', 'and', 'the', 'food', 'impeccable', '1']","['i', 'recommend', 'igo', 'to', 'anyon', 'with', 'differ', 'brand', 'cell', 'player', 'in', 'the', 'famili', '1']",[],"['i', 'wa', 'proven', 'dead', 'wrong', 'by', 'thi', 'sushi', 'bar', 'not', 'onli', 'becaus', 'the', 'qualiti', 'is', 'great', 'but', 'the', 'servic', 'is', 'fast', 'and', 'the', 'food', 'impecc', '1']","['recommend', 'igo', 'anyon', 'differ', 'brand', 'cell', 'player', 'famili', '1']",[],"['wa', 'proven', 'dead', 'wrong', 'thi', 'sushi', 'bar', 'onli', 'becaus', 'qualiti', 'great', 'servic', 'fast', 'food', 'impecc', '1']",i recommend igo to anyone with different brand cell players in the family 1 i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable 1,i recommend igo to anyon with differ brand cell player in the famili 1 i wa proven dead wrong by thi sushi bar not onli becaus the qualiti is great but the servic is fast and the food impecc 1,recommend igo anyon differ brand cell player famili 1 wa proven dead wrong thi sushi bar onli becaus qualiti great servic fast food impecc 1,Neutral
Don't bother - go to the store. 0,,After waiting an hour and being seated  I was not in the greatest of moods. 0,do bother go to the store 0,,after waiting an hour and being seated i was not in the greatest of moods 0,,"['do', 'bother', 'go', 'to', 'the', 'store', '0']",[],"['after', 'waiting', 'an', 'hour', 'and', 'being', 'seated', 'i', 'was', 'not', 'in', 'the', 'greatest', 'of', 'moods', '0']","['do', 'bother', 'go', 'to', 'the', 'store', '0']",[],"['after', 'wait', 'an', 'hour', 'and', 'be', 'seat', 'i', 'wa', 'not', 'in', 'the', 'greatest', 'of', 'mood', '0']","['bother', 'go', 'store', '0']",[],"['wait', 'hour', 'seat', 'wa', 'greatest', 'mood', '0']",do bother go to the store 0 after waiting an hour and being seated i was not in the greatest of moods 0,do bother go to the store 0 after wait an hour and be seat i wa not in the greatest of mood 0,bother go store 0 wait hour seat wa greatest mood 0,Neutral
I posted more detailed comments under the grey or black phone  but i have the Fire Red and it's a great color! 1,,This is a good joint. 1,i posted more detailed comments under the grey or black phone but i have the fire red and it a great color 1,,this is a good joint 1,,"['i', 'posted', 'more', 'detailed', 'comments', 'under', 'the', 'grey', 'or', 'black', 'phone', 'but', 'i', 'have', 'the', 'fire', 'red', 'and', 'it', 'a', 'great', 'color', '1']",[],"['this', 'is', 'a', 'good', 'joint', '1']","['i', 'post', 'more', 'detail', 'comment', 'under', 'the', 'grey', 'or', 'black', 'phone', 'but', 'i', 'have', 'the', 'fire', 'red', 'and', 'it', 'a', 'great', 'color', '1']",[],"['thi', 'is', 'a', 'good', 'joint', '1']","['post', 'detail', 'comment', 'grey', 'black', 'phone', 'fire', 'red', 'great', 'color', '1']",[],"['thi', 'good', 'joint', '1']",i posted more detailed comments under the grey or black phone but i have the fire red and it a great color 1 this is a good joint 1,i post more detail comment under the grey or black phone but i have the fire red and it a great color 1 thi is a good joint 1,post detail comment grey black phone fire red great color 1 thi good joint 1,Positive
I did not have any problem with this item and would order it again if needed. 1,,The Macarons here are insanely good. 1,i did not have any problem with this item and would order it again if needed 1,,the macarons here are insanely good 1,,"['i', 'did', 'not', 'have', 'any', 'problem', 'with', 'this', 'item', 'and', 'would', 'order', 'it', 'again', 'if', 'needed', '1']",[],"['the', 'macarons', 'here', 'are', 'insanely', 'good', '1']","['i', 'did', 'not', 'have', 'ani', 'problem', 'with', 'thi', 'item', 'and', 'would', 'order', 'it', 'again', 'if', 'need', '1']",[],"['the', 'macaron', 'here', 'are', 'insan', 'good', '1']","['ani', 'problem', 'thi', 'item', 'would', 'order', 'need', '1']",[],"['macaron', 'insan', 'good', '1']",i did not have any problem with this item and would order it again if needed 1 the macarons here are insanely good 1,i did not have ani problem with thi item and would order it again if need 1 the macaron here are insan good 1,ani problem thi item would order need 1 macaron insan good 1,Positive
You get what you pay for I guess. 0,,I'm not eating here! 0,you get what you pay for i guess 0,,i not eating here 0,,"['you', 'get', 'what', 'you', 'pay', 'for', 'i', 'guess', '0']",[],"['i', 'not', 'eating', 'here', '0']","['you', 'get', 'what', 'you', 'pay', 'for', 'i', 'guess', '0']",[],"['i', 'not', 'eat', 'here', '0']","['get', 'pay', 'guess', '0']",[],"['eat', '0']",you get what you pay for i guess 0 i not eating here 0,you get what you pay for i guess 0 i not eat here 0,get pay guess 0 eat 0,Neutral
Not only did the software do a great job of this  I could also make my own ringtones form my existing CDs without an internet connection. 1,,Our waiter was very attentive  friendly  and informative. 1,not only did the software do a great job of this i could also make my own ringtones form my existing cds without an internet connection 1,,our waiter was very attentive friendly and informative 1,,"['not', 'only', 'did', 'the', 'software', 'do', 'a', 'great', 'job', 'of', 'this', 'i', 'could', 'also', 'make', 'my', 'own', 'ringtones', 'form', 'my', 'existing', 'cds', 'without', 'an', 'internet', 'connection', '1']",[],"['our', 'waiter', 'was', 'very', 'attentive', 'friendly', 'and', 'informative', '1']","['not', 'onli', 'did', 'the', 'softwar', 'do', 'a', 'great', 'job', 'of', 'thi', 'i', 'could', 'also', 'make', 'my', 'own', 'rington', 'form', 'my', 'exist', 'cd', 'without', 'an', 'internet', 'connect', '1']",[],"['our', 'waiter', 'wa', 'veri', 'attent', 'friendli', 'and', 'inform', '1']","['onli', 'softwar', 'great', 'job', 'thi', 'could', 'also', 'make', 'rington', 'form', 'exist', 'cd', 'without', 'internet', 'connect', '1']",[],"['waiter', 'wa', 'veri', 'attent', 'friendli', 'inform', '1']",not only did the software do a great job of this i could also make my own ringtones form my existing cds without an internet connection 1 our waiter was very attentive friendly and informative 1,not onli did the softwar do a great job of thi i could also make my own rington form my exist cd without an internet connect 1 our waiter wa veri attent friendli and inform 1,onli softwar great job thi could also make rington form exist cd without internet connect 1 waiter wa veri attent friendli inform 1,Neutral
im surprised this is a good quality car charger and there's not much reviews about it. 1,,Maybe if they weren't cold they would have been somewhat edible. 0,im surprised this is a good quality car charger and there not much reviews about it 1,,maybe if they were cold they would have been somewhat edible 0,,"['im', 'surprised', 'this', 'is', 'a', 'good', 'quality', 'car', 'charger', 'and', 'there', 'not', 'much', 'reviews', 'about', 'it', '1']",[],"['maybe', 'if', 'they', 'were', 'cold', 'they', 'would', 'have', 'been', 'somewhat', 'edible', '0']","['im', 'surpris', 'thi', 'is', 'a', 'good', 'qualiti', 'car', 'charger', 'and', 'there', 'not', 'much', 'review', 'about', 'it', '1']",[],"['mayb', 'if', 'they', 'were', 'cold', 'they', 'would', 'have', 'been', 'somewhat', 'edibl', '0']","['im', 'surpris', 'thi', 'good', 'qualiti', 'car', 'charger', 'much', 'review', '1']",[],"['mayb', 'cold', 'would', 'somewhat', 'edibl', '0']",im surprised this is a good quality car charger and there not much reviews about it 1 maybe if they were cold they would have been somewhat edible 0,im surpris thi is a good qualiti car charger and there not much review about it 1 mayb if they were cold they would have been somewhat edibl 0,im surpris thi good qualiti car charger much review 1 mayb cold would somewhat edibl 0,Positive
These are fabulous! 1,,This place has a lot of promise but fails to deliver. 0,these are fabulous 1,,this place has a lot of promise but fails to deliver 0,,"['these', 'are', 'fabulous', '1']",[],"['this', 'place', 'has', 'a', 'lot', 'of', 'promise', 'but', 'fails', 'to', 'deliver', '0']","['these', 'are', 'fabul', '1']",[],"['thi', 'place', 'ha', 'a', 'lot', 'of', 'promis', 'but', 'fail', 'to', 'deliv', '0']","['fabul', '1']",[],"['thi', 'place', 'ha', 'lot', 'promis', 'fail', 'deliv', '0']",these are fabulous 1 this place has a lot of promise but fails to deliver 0,these are fabul 1 thi place ha a lot of promis but fail to deliv 0,fabul 1 thi place ha lot promis fail deliv 0,Neutral
However  BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up. 0,,Very bad Experience! 0,however bt headsets are currently not good for real time games like shooters since the audio delay messes me up 0,,very bad experience 0,,"['however', 'bt', 'headsets', 'are', 'currently', 'not', 'good', 'for', 'real', 'time', 'games', 'like', 'shooters', 'since', 'the', 'audio', 'delay', 'messes', 'me', 'up', '0']",[],"['very', 'bad', 'experience', '0']","['howev', 'bt', 'headset', 'are', 'current', 'not', 'good', 'for', 'real', 'time', 'game', 'like', 'shooter', 'sinc', 'the', 'audio', 'delay', 'mess', 'me', 'up', '0']",[],"['veri', 'bad', 'experi', '0']","['howev', 'bt', 'headset', 'current', 'good', 'real', 'time', 'game', 'like', 'shooter', 'sinc', 'audio', 'delay', 'mess', '0']",[],"['veri', 'bad', 'experi', '0']",however bt headsets are currently not good for real time games like shooters since the audio delay messes me up 0 very bad experience 0,howev bt headset are current not good for real time game like shooter sinc the audio delay mess me up 0 veri bad experi 0,howev bt headset current good real time game like shooter sinc audio delay mess 0 veri bad experi 0,Positive
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent. 1,,What a mistake. 0,i used bitpim a free program you can find on the internet to transfer data to the price of the cable was excellent 1,,what a mistake 0,,"['i', 'used', 'bitpim', 'a', 'free', 'program', 'you', 'can', 'find', 'on', 'the', 'internet', 'to', 'transfer', 'data', 'to', 'the', 'price', 'of', 'the', 'cable', 'was', 'excellent', '1']",[],"['what', 'a', 'mistake', '0']","['i', 'use', 'bitpim', 'a', 'free', 'program', 'you', 'can', 'find', 'on', 'the', 'internet', 'to', 'transfer', 'data', 'to', 'the', 'price', 'of', 'the', 'cabl', 'wa', 'excel', '1']",[],"['what', 'a', 'mistak', '0']","['use', 'bitpim', 'free', 'program', 'find', 'internet', 'transfer', 'data', 'price', 'cabl', 'wa', 'excel', '1']",[],"['mistak', '0']",i used bitpim a free program you can find on the internet to transfer data to the price of the cable was excellent 1 what a mistake 0,i use bitpim a free program you can find on the internet to transfer data to the price of the cabl wa excel 1 what a mistak 0,use bitpim free program find internet transfer data price cabl wa excel 1 mistak 0,Neutral
Disappointing accessory from a good manufacturer. 0,,Food was average at best. 0,disappointing accessory from a good manufacturer 0,,food was average at best 0,,"['disappointing', 'accessory', 'from', 'a', 'good', 'manufacturer', '0']",[],"['food', 'was', 'average', 'at', 'best', '0']","['disappoint', 'accessori', 'from', 'a', 'good', 'manufactur', '0']",[],"['food', 'wa', 'averag', 'at', 'best', '0']","['disappoint', 'accessori', 'good', 'manufactur', '0']",[],"['food', 'wa', 'averag', 'best', '0']",disappointing accessory from a good manufacturer 0 food was average at best 0,disappoint accessori from a good manufactur 0 food wa averag at best 0,disappoint accessori good manufactur 0 food wa averag best 0,Positive
Performed awful -- muffled  tinny incoming sound and severe echo for those on the other end of the call. 0,,Great food. 1,performed awful muffled tinny incoming sound and severe echo for those on the other end of the call 0,,great food 1,,"['performed', 'awful', 'muffled', 'tinny', 'incoming', 'sound', 'and', 'severe', 'echo', 'for', 'those', 'on', 'the', 'other', 'end', 'of', 'the', 'call', '0']",[],"['great', 'food', '1']","['perform', 'aw', 'muffl', 'tinni', 'incom', 'sound', 'and', 'sever', 'echo', 'for', 'those', 'on', 'the', 'other', 'end', 'of', 'the', 'call', '0']",[],"['great', 'food', '1']","['perform', 'aw', 'muffl', 'tinni', 'incom', 'sound', 'sever', 'echo', 'end', 'call', '0']",[],"['great', 'food', '1']",performed awful muffled tinny incoming sound and severe echo for those on the other end of the call 0 great food 1,perform aw muffl tinni incom sound and sever echo for those on the other end of the call 0 great food 1,perform aw muffl tinni incom sound sever echo end call 0 great food 1,Neutral
Very wind-resistant. 1,,We won't be going back anytime soon! 0,very 1,,we wo be going back anytime soon 0,,"['very', '1']",[],"['we', 'wo', 'be', 'going', 'back', 'anytime', 'soon', '0']","['veri', '1']",[],"['we', 'wo', 'be', 'go', 'back', 'anytim', 'soon', '0']","['veri', '1']",[],"['wo', 'go', 'back', 'anytim', 'soon', '0']",very 1 we wo be going back anytime soon 0,veri 1 we wo be go back anytim soon 0,veri 1 wo go back anytim soon 0,Neutral
Obviously they have a terrible customer service  so you get what you pay for. 0,,Very Very Disappointed ordered the $35 Big Bay Plater. 0,obviously they have a terrible customer service so you get what you pay for 0,,very very disappointed ordered the 35 big bay plater 0,,"['obviously', 'they', 'have', 'a', 'terrible', 'customer', 'service', 'so', 'you', 'get', 'what', 'you', 'pay', 'for', '0']",[],"['very', 'very', 'disappointed', 'ordered', 'the', '35', 'big', 'bay', 'plater', '0']","['obvious', 'they', 'have', 'a', 'terribl', 'custom', 'servic', 'so', 'you', 'get', 'what', 'you', 'pay', 'for', '0']",[],"['veri', 'veri', 'disappoint', 'order', 'the', '35', 'big', 'bay', 'plater', '0']","['obvious', 'terribl', 'custom', 'servic', 'get', 'pay', '0']",[],"['veri', 'veri', 'disappoint', 'order', '35', 'big', 'bay', 'plater', '0']",obviously they have a terrible customer service so you get what you pay for 0 very very disappointed ordered the 35 big bay plater 0,obvious they have a terribl custom servic so you get what you pay for 0 veri veri disappoint order the 35 big bay plater 0,obvious terribl custom servic get pay 0 veri veri disappoint order 35 big bay plater 0,Neutral
They do not last forever  but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried. 1,,Great place to relax and have an awesome burger and beer. 1,they do not last forever but is not overly expensive to to operate and the sound is much better than others i have tried 1,,great place to relax and have an awesome burger and beer 1,,"['they', 'do', 'not', 'last', 'forever', 'but', 'is', 'not', 'overly', 'expensive', 'to', 'to', 'operate', 'and', 'the', 'sound', 'is', 'much', 'better', 'than', 'others', 'i', 'have', 'tried', '1']",[],"['great', 'place', 'to', 'relax', 'and', 'have', 'an', 'awesome', 'burger', 'and', 'beer', '1']","['they', 'do', 'not', 'last', 'forev', 'but', 'is', 'not', 'overli', 'expens', 'to', 'to', 'oper', 'and', 'the', 'sound', 'is', 'much', 'better', 'than', 'other', 'i', 'have', 'tri', '1']",[],"['great', 'place', 'to', 'relax', 'and', 'have', 'an', 'awesom', 'burger', 'and', 'beer', '1']","['last', 'forev', 'overli', 'expens', 'oper', 'sound', 'much', 'better', 'tri', '1']",[],"['great', 'place', 'relax', 'awesom', 'burger', 'beer', '1']",they do not last forever but is not overly expensive to to operate and the sound is much better than others i have tried 1 great place to relax and have an awesome burger and beer 1,they do not last forev but is not overli expens to to oper and the sound is much better than other i have tri 1 great place to relax and have an awesom burger and beer 1,last forev overli expens oper sound much better tri 1 great place relax awesom burger beer 1,Neutral
